VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CDA,36,CDA-C77-C6-C66-CDA,3,12-12-12,42.59,63.88,70103.31
VEH002,CDA,24,CDA-C71-C49-CDA,2,12-12,17.66,26.5,29076.43
VEH003,CDA,36,CDA-C26-C86-C10-CDA,3,12-12-12,39.55,59.33,65107.77
VEH004,CDA,36,CDA-C9-C11-C75-CDA,3,12-12-12,19.44,29.16,31995.69
VEH005,CDA,36,CDA-C58-C4-C61-CDA,3,12-12-12,35.27,52.9,58054.83
VEH006,CDA,46,CDA-C87-C39-C50-C41-CDA,4,10-12-12-12,30.1,45.15,49548.43
VEH007,CDA,53,CDA-C34-C83-C73-C80-C64-CDA,5,12-12-12-5-12,42.44,63.67,69867.77
VEH008,CDA,36,CDA-C42-C76-C19-CDA,3,12-12-12,20.57,30.85,33853.11
VEH009,CDA,60,CDA-C67-C2-C63-C12-C69-CDA,5,12-12-12-12-12,35.66,53.49,58695.62
VEH010,CDA,23,CDA-C31-C5-CDA,2,11-12,39.28,58.92,64656.61
VEH011,CDA,533,CDA-C30-C43-C40-C29-C89-C90-C18-C44-C3-C70-C45-C21-C46-C79-C15-C53-C22-C37-C68-C32-C60-C85-C54-C36-C8-C20-C48-C13-C65-C55-C57-C35-C38-C52-C88-C33-C59-C1-C72-C14-C81-C47-C78-C25-C56-CDA,45,12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12-8-12-12-9-12-12-12-12-12-12-12-12-12-12-12-12-12-12,372.28,558.42,612821.08
VEH012,CDA,144,CDA-C62-C84-C24-C82-C7-C74-C16-C51-C28-C23-C27-C17-CDA,12,12-12-12-12-12-12-12-12-12-12-12-12,71.84,107.76,118254.56
